X,Micros
-18.55,1176152
-18.57,1177608
-18.6,1179232
-18.63,1180796
-18.65,1182436
-18.68,1183964
-18.7,1185424
-18.72,1186988
-18.75,1188600
-18.78,1190136
-18.8,1191736
-18.83,1193248
-18.85,1194796
-18.87,1196332
-18.9,1197812
-18.92,1199404
-18.95,1201256
-18.98,1202812
-19.0,1204380
-19.03,1205940
-19.05,1207424
-19.08,1209052
-19.1,1210616
-19.13,1212208
-19.16,1213844
-19.18,1215304
-19.2,1216788
-19.23,1218364
-19.25,1219948
-19.28,1221524
-19.3,1223036
-19.33,1224548
-19.35,1226144
-19.37,1227616
-19.4,1229160
-19.42,1230752
-19.45,1232396
-19.48,1234040
-19.5,1235560
-19.53,1237116
-19.55,1238752
-19.58,1240260
-19.6,1241828
-19.63,1243384
-19.65,1244896
-19.67,1246408
-19.7,1247932
-19.73,1249536
-19.76,1251280
-19.78,1252740
-19.8,1254256
-19.83,1255764
